Brand,Frequency
Charlotte Tilbury,114
Rare Beauty,64
Drunk Elephant,63
Dior Beauty,52
Fenty Beauty,46
Huda Beauty,45
NARS,39
Hourglass,37
PATRICK TA,36
Benefit Cosmetics,36
Anastasia Beverly Hills,27
tarte,26
Sol de Janeiro,26
MAKEUP BY MARIO,26
Too Faced,24
ROSE INC,23
MAC Cosmetics,16
Natasha Denona,15
Urban Decay,15
MAKE UP FOR EVER,15
YSL Beauty,15
Bobbi Brown,14
DUO,14
LANEIGE,11
Glow Recipe,10
SEPHORA COLLECTION,9
Laura Mercier,9
Givenchy,9
Sephora Favorites,8
Yves Saint Laurent,8
goop,7
Tower 28,7
Westman Atelier,7
MERIT,7
NATASHA DENONA,7
Shiseido,6
Summer Fridays,6
CLINIQUE,6
fresh,6
Glossier,5
HAUS LABS BY LADY GAGA,5
Peter Thomas Roth,4
Olaplex,4
Clarins,3
Lancôme,3
Valentino,3
GUERLAIN,3
Dermalogica,3
Chanel Beauty,3
Iconic London,3
The INKEY List,2
Caudalie,2
Mario Badescu,2
IT Cosmetics,2
TOM FORD,2
Pat McGrath,2
Kosas,2
Saie,2
Isle of Paradise,1
Paula's Choice,1
ILIA,1
Ilia,1
Fenty Skin,1
Tom Ford Beauty,1
Gisou,1
Gucci Beauty,1
Gucci,1
TWEEZERMAN,1
Virtue,1
Peace Out,1
The Ordinary,1
Estée Lauder,1
Sunday Riley,1
Armani Beauty,1
Giorgio Armani Beauty,1
First Aid Beauty,1
Milk Makeup,1
MILK MAKEUP,1
Hello Sunday,1
