,Anastasia Beverly Hills,Drunk Elephant,CLINIQUE,Peter Thomas Roth,Laura Mercier,Sol de Janeiro,Charlotte Tilbury,Rare Beauty,MAKE UP FOR EVER,Summer Fridays,Hourglass,Dior Beauty,Huda Beauty,ROSE INC,tarte,Fenty Beauty,Sephora Favorites,NARS,Too Faced,Glow Recipe,Clarins,MAKEUP BY MARIO,PATRICK TA,Bobbi Brown,Benefit Cosmetics,MAC Cosmetics,Yves Saint Laurent,YSL Beauty,Urban Decay,NATASHA DENONA,Natasha Denona,LANEIGE,Isle of Paradise,SEPHORA COLLECTION,goop,IT Cosmetics,Olaplex,Valentino,fresh,Tower 28,Givenchy,Lancôme,Glossier,Paula's Choice,DUO,The INKEY List,GUERLAIN,Fenty Skin,Kosas,HAUS LABS BY LADY GAGA,Saie,Westman Atelier,Ilia,ILIA,Gucci,TOM FORD,Gucci Beauty,Gisou,MERIT,Tom Ford Beauty,Shiseido,Caudalie,Dermalogica,Mario Badescu,Pat McGrath,Virtue,TWEEZERMAN,Iconic London,Peace Out,The Ordinary,Chanel Beauty,Estée Lauder,Sunday Riley,Armani Beauty,Giorgio Armani Beauty,First Aid Beauty,Milk Makeup,MILK MAKEUP,Hello Sunday
Anastasia Beverly Hills,0.0,1.3985890652557318,1.1296296296296295,3.388888888888889,2.2592592592592595,0.782051282051282,1.010721247563353,0.7413194444444445,1.8074074074074076,1.1296296296296295,1.6486486486486485,1.0427350427350428,1.3555555555555556,0.8840579710144928,0.782051282051282,1.178743961352657,0.0,1.3903133903133904,1.6944444444444444,2.033333333333333,0.0,0.782051282051282,1.1296296296296298,0.4841269841269842,1.3179012345679013,0.4236111111111111,1.6944444444444444,1.8074074074074076,0.0,0.9682539682539684,0.9037037037037038,1.8484848484848486,0.0,2.2592592592592595,0.9682539682539684,0.0,1.6944444444444444,0.0,1.1296296296296295,0.9682539682539684,0.7530864197530864,0.0,0.0,0.0,0.9682539682539684,0.0,0.0,0.0,0.0,0.0,0.0,3.8730158730158735,6.777777777777778,6.777777777777778,6.777777777777778,6.777777777777778,6.777777777777778,6.777777777777778,0.9682539682539684,6.777777777777778,0.0,0.0,0.0,0.0,3.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.777777777777778,6.777777777777778,6.777777777777778,0.0,0.0,0.0,0.0
Drunk Elephant,1.3985890652557318,0.0,1.9365079365079363,0.7261904761904763,1.2910052910052912,2.2344322344322345,0.9937343358395989,1.1346726190476193,0.5809523809523811,0.4841269841269841,0.9420849420849422,1.1172161172161172,0.9037037037037038,1.2629399585921326,1.4523809523809523,0.8840579710144928,1.0892857142857144,1.1916971916971917,0.9682539682539681,1.7428571428571429,2.9047619047619047,1.1172161172161172,0.9682539682539684,0.6224489795918368,1.048941798941799,0.5446428571428572,1.4523809523809526,0.9682539682539684,0.38730158730158737,0.8299319727891157,0.9682539682539684,1.3203463203463204,2.904761904761905,1.2910052910052912,1.2448979591836735,0.0,2.178571428571429,1.9365079365079363,0.9682539682539681,1.6598639455782314,0.0,0.0,1.7428571428571429,2.904761904761905,1.0374149659863945,2.904761904761905,0.9682539682539681,2.904761904761905,1.4523809523809526,0.5809523809523809,1.4523809523809526,1.6598639455782314,2.904761904761905,2.904761904761905,2.904761904761905,1.4523809523809526,2.904761904761905,2.904761904761905,1.2448979591836735,0.0,1.4523809523809523,0.0,0.0,2.904761904761905,0.0,0.0,0.0,0.9682539682539681,0.0,2.904761904761905,0.0,0.0,2.904761904761905,0.0,0.0,0.0,0.0,0.0,2.904761904761905
CLINIQUE,1.1296296296296295,1.9365079365079363,0.0,7.624999999999999,3.388888888888889,1.1730769230769231,0.8026315789473684,1.4296875,0.0,0.0,0.0,1.1730769230769231,0.6777777777777777,0.0,1.1730769230769231,1.3260869565217392,3.8124999999999996,0.782051282051282,1.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8124999999999996,0.0,0.0,4.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1785714285714284,0.0,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Thomas Roth,3.388888888888889,0.7261904761904763,7.624999999999999,0.0,5.083333333333334,0.0,0.8026315789473684,0.71484375,3.0500000000000003,15.249999999999998,2.472972972972973,1.7596153846153848,0.0,0.0,0.0,0.0,0.0,0.0,1.9062499999999998,4.575,0.0,1.7596153846153848,1.2708333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.083333333333334,15.249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laura Mercier,2.2592592592592595,1.2910052910052912,3.388888888888889,5.083333333333334,0.0,0.782051282051282,0.891812865497076,1.5885416666666667,0.0,0.0,1.0990990990990992,1.1730769230769231,1.3555555555555556,1.7681159420289856,1.564102564102564,1.7681159420289856,2.541666666666667,1.0427350427350428,0.8472222222222222,4.066666666666667,0.0,1.564102564102564,2.8240740740740744,1.4523809523809523,2.2592592592592595,1.2708333333333335,2.541666666666667,1.3555555555555558,1.3555555555555558,2.9047619047619047,2.7111111111111117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,2.9047619047619047,20.333333333333336,20.333333333333336,20.333333333333336,10.166666666666668,20.333333333333336,0.0,0.0,0.0,3.388888888888889,0.0,0.0,0.0,0.0,20.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sol de Janeiro,0.782051282051282,2.2344322344322345,1.1730769230769231,0.0,0.782051282051282,0.0,0.8026315789473684,1.3197115384615385,0.4692307692307693,1.1730769230769231,0.760914760914761,0.9474852071005919,1.094871794871795,0.6120401337792643,1.3535502958579884,1.2240802675585285,2.639423076923077,0.7218934911242605,1.1730769230769231,2.111538461538462,2.3461538461538463,1.3535502958579884,0.5865384615384616,0.0,0.782051282051282,0.0,0.8798076923076924,0.4692307692307693,0.0,0.0,0.0,1.2797202797202798,0.0,0.0,2.010989010989011,0.0,1.7596153846153848,2.3461538461538463,3.5192307692307696,1.0054945054945055,0.0,0.0,2.8153846153846156,7.038461538461539,0.5027472527472527,3.5192307692307696,0.0,0.0,3.5192307692307696,1.4076923076923078,0.0,2.010989010989011,0.0,0.0,7.038461538461539,3.5192307692307696,7.038461538461539,7.038461538461539,2.010989010989011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3461538461538463,0.0,7.038461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte Tilbury,1.010721247563353,0.9937343358395989,0.8026315789473684,0.8026315789473684,0.891812865497076,0.8026315789473684,0.0,1.1036184210526314,1.1771929824561402,1.3377192982456139,1.301564722617354,1.327429149797571,1.1771929824561405,1.1167048054919908,1.1113360323886639,1.1516018306636155,0.4013157894736842,0.9878542510121459,1.070175438596491,1.1236842105263158,1.070175438596491,1.1113360323886639,0.891812865497076,1.1466165413533833,0.891812865497076,1.1036184210526314,1.0032894736842104,1.0701754385964912,1.1771929824561402,0.6879699248120301,0.856140350877193,1.3133971291866027,0.0,1.0701754385964912,1.1466165413533833,1.6052631578947367,0.8026315789473684,0.0,0.26754385964912275,1.1466165413533833,0.891812865497076,1.070175438596491,0.9631578947368421,0.0,0.8026315789473684,0.8026315789473684,1.6052631578947367,1.6052631578947367,0.8026315789473684,0.6421052631578947,1.6052631578947367,1.1466165413533833,1.6052631578947367,1.6052631578947367,0.0,0.0,0.0,1.6052631578947367,0.6879699248120301,0.0,1.3377192982456139,0.8026315789473684,1.070175438596491,1.6052631578947367,1.6052631578947367,1.6052631578947367,0.0,1.6052631578947367,0.0,1.6052631578947367,1.6052631578947367,0.0,1.6052631578947367,1.6052631578947367,1.6052631578947367,0.0,1.6052631578947367,1.6052631578947367,1.6052631578947367
Rare Beauty,0.7413194444444445,1.1346726190476193,1.4296875,0.71484375,1.5885416666666667,1.3197115384615385,1.1036184210526314,0.0,0.5718750000000001,1.9062499999999998,0.8500844594594593,1.3197115384615385,1.2708333333333333,0.8702445652173914,1.3197115384615385,1.056725543478261,1.072265625,1.3930288461538463,1.072265625,0.8578125000000001,1.9062499999999998,1.3197115384615385,1.19140625,0.8169642857142857,1.1119791666666667,0.5361328125,1.072265625,0.953125,0.7625000000000001,1.6339285714285714,1.7156250000000002,0.7798295454545455,0.0,0.9531250000000001,1.2254464285714286,2.859375,2.14453125,0.9531249999999999,1.9062499999999998,0.40848214285714285,0.31770833333333337,1.9062499999999998,2.2875,2.859375,1.021205357142857,0.0,1.9062499999999998,0.0,2.859375,1.7156250000000002,2.859375,1.2254464285714286,0.0,0.0,0.0,1.4296875,0.0,0.0,0.8169642857142857,2.859375,0.47656249999999994,1.4296875,0.9531249999999999,1.4296875,1.4296875,2.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.859375,2.859375,2.859375,0.0
MAKE UP FOR EVER,1.8074074074074076,0.5809523809523811,0.0,3.0500000000000003,0.0,0.4692307692307693,1.1771929824561402,0.5718750000000001,0.0,2.033333333333333,1.6486486486486487,1.6423076923076925,1.3555555555555556,1.5913043478260873,1.8769230769230771,1.3260869565217392,0.0,0.9384615384615386,1.5250000000000001,0.0,0.0,0.4692307692307693,0.6777777777777779,1.742857142857143,1.3555555555555558,1.5250000000000001,0.0,0.8133333333333335,0.0,0.0,0.8133333333333335,0.0,0.0,1.3555555555555558,0.0,0.0,3.0500000000000003,0.0,0.0,1.742857142857143,1.3555555555555558,4.066666666666666,0.0,0.0,1.742857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1000000000000005,4.066666666666666,0.0,0.0,0.0,0.0,4.066666666666666,0.0,12.200000000000001,0.0,12.200000000000001,0.0,12.200000000000001,12.200000000000001,0.0,0.0,0.0,0.0
Summer Fridays,1.1296296296296295,0.4841269841269841,0.0,15.249999999999998,0.0,1.1730769230769231,1.3377192982456139,1.9062499999999998,2.033333333333333,0.0,4.121621621621621,2.932692307692308,0.6777777777777777,0.0,0.0,0.0,0.0,0.0,1.2708333333333333,3.05,0.0,3.5192307692307696,2.541666666666667,0.0,0.8472222222222222,0.0,0.0,2.033333333333333,0.0,0.0,2.033333333333333,5.545454545454545,0.0,0.0,4.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,10.166666666666666,6.1,0.0,2.1785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,4.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.249999999999998,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
