support,itemsets,itemsets_str
0.14754098360655737,frozenset({'Anastasia Beverly Hills'}),Anastasia Beverly Hills
0.19672131147540983,frozenset({'Benefit Cosmetics'}),Benefit Cosmetics
0.07650273224043716,frozenset({'Bobbi Brown'}),Bobbi Brown
0.6229508196721312,frozenset({'Charlotte Tilbury'}),Charlotte Tilbury
0.07650273224043716,frozenset({'DUO'}),DUO
0.28415300546448086,frozenset({'Dior Beauty'}),Dior Beauty
0.3442622950819672,frozenset({'Drunk Elephant'}),Drunk Elephant
0.25136612021857924,frozenset({'Fenty Beauty'}),Fenty Beauty
0.0546448087431694,frozenset({'Glow Recipe'}),Glow Recipe
0.20218579234972678,frozenset({'Hourglass'}),Hourglass
0.2459016393442623,frozenset({'Huda Beauty'}),Huda Beauty
0.060109289617486336,frozenset({'LANEIGE'}),LANEIGE
0.08743169398907104,frozenset({'MAC Cosmetics'}),MAC Cosmetics
0.08196721311475409,frozenset({'MAKE UP FOR EVER'}),MAKE UP FOR EVER
0.14207650273224043,frozenset({'MAKEUP BY MARIO'}),MAKEUP BY MARIO
0.21311475409836064,frozenset({'NARS'}),NARS
0.08196721311475409,frozenset({'Natasha Denona'}),Natasha Denona
0.19672131147540983,frozenset({'PATRICK TA'}),PATRICK TA
0.12568306010928962,frozenset({'ROSE INC'}),ROSE INC
0.34972677595628415,frozenset({'Rare Beauty'}),Rare Beauty
0.14207650273224043,frozenset({'Sol de Janeiro'}),Sol de Janeiro
0.13114754098360656,frozenset({'Too Faced'}),Too Faced
0.08196721311475409,frozenset({'Urban Decay'}),Urban Decay
0.08196721311475409,frozenset({'YSL Beauty'}),YSL Beauty
0.14207650273224043,frozenset({'tarte'}),tarte
0.09289617486338798,"frozenset({'Anastasia Beverly Hills', 'Charlotte Tilbury'})","Anastasia Beverly Hills, Charlotte Tilbury"
0.07103825136612021,"frozenset({'Drunk Elephant', 'Anastasia Beverly Hills'})","Drunk Elephant, Anastasia Beverly Hills"
0.1092896174863388,"frozenset({'Benefit Cosmetics', 'Charlotte Tilbury'})","Benefit Cosmetics, Charlotte Tilbury"
0.060109289617486336,"frozenset({'Benefit Cosmetics', 'Dior Beauty'})","Benefit Cosmetics, Dior Beauty"
0.07103825136612021,"frozenset({'Drunk Elephant', 'Benefit Cosmetics'})","Drunk Elephant, Benefit Cosmetics"
0.06557377049180328,"frozenset({'Benefit Cosmetics', 'Fenty Beauty'})","Benefit Cosmetics, Fenty Beauty"
0.060109289617486336,"frozenset({'Benefit Cosmetics', 'Huda Beauty'})","Benefit Cosmetics, Huda Beauty"
0.06557377049180328,"frozenset({'NARS', 'Benefit Cosmetics'})","NARS, Benefit Cosmetics"
0.07650273224043716,"frozenset({'Benefit Cosmetics', 'Rare Beauty'})","Benefit Cosmetics, Rare Beauty"
0.0546448087431694,"frozenset({'Bobbi Brown', 'Charlotte Tilbury'})","Bobbi Brown, Charlotte Tilbury"
