Marca,Tipo de Atributo,Frecuencia
Anastasia Beverly Hills,NGRAM_ATTRIBUTE,69
Anastasia Beverly Hills,GLOSSY_FINISH,32
Anastasia Beverly Hills,OIL_CONTROL,32
Anastasia Beverly Hills,PORE_MINIMIZING,32
CLINIQUE,NGRAM_ATTRIBUTE,8
CLINIQUE,GLOSSY_FINISH,2
CLINIQUE,FORMULA,1
Caudalie,NGRAM_ATTRIBUTE,5
Charlotte Tilbury,NGRAM_ATTRIBUTE,355
Charlotte Tilbury,PORE_MINIMIZING,65
Charlotte Tilbury,GLOSSY_FINISH,46
Charlotte Tilbury,INDUSTRY_TERM,24
Charlotte Tilbury,OIL_CONTROL,24
Charlotte Tilbury,MATTE_FINISH,8
Charlotte Tilbury,SKIN_TONE,4
Charlotte Tilbury,FIRMING,3
Charlotte Tilbury,FORMULA,3
Charlotte Tilbury,COVERAGE,2
Charlotte Tilbury,SUN_PROTECTION,2
Charlotte Tilbury,GLOWY_FINISH,1
Clarins,NGRAM_ATTRIBUTE,4
Clarins,GLOSSY_FINISH,3
Clarins,FORMULA,1
DIOR,NGRAM_ATTRIBUTE,523
DIOR,GLOSSY_FINISH,70
DIOR,FORMULA,15
DIOR,PORE_MINIMIZING,5
DIOR,WATERPROOF,4
DIOR,FIRMING,3
DIOR,INDUSTRY_TERM,1
DUO,NGRAM_ATTRIBUTE,36
DUO,COVERAGE,1
DUO,GLOSSY_FINISH,1
DUO,SKIN_TONE,1
Dermalogica,NGRAM_ATTRIBUTE,10
Dermalogica,TEXTURE,2
Dermalogica,COLOR_CORRECTION,1
Drunk Elephant,NGRAM_ATTRIBUTE,19
Drunk Elephant,INGREDIENTS,12
Drunk Elephant,GLOSSY_FINISH,2
Drunk Elephant,HYDRATION_MOISTURE,2
Drunk Elephant,COVERAGE,1
Drunk Elephant,OIL_CONTROL,1
Drunk Elephant,PORE_MINIMIZING,1
Fenty Skin,NGRAM_ATTRIBUTE,19
First Aid Beauty,NGRAM_ATTRIBUTE,2
Givenchy,PORE_MINIMIZING,1
Glow Recipe,NGRAM_ATTRIBUTE,84
Glow Recipe,GLOSSY_FINISH,14
Glow Recipe,INDUSTRY_TERM,4
Glow Recipe,COVERAGE,1
Glow Recipe,OIL_CONTROL,1
HUDA BEAUTY,NGRAM_ATTRIBUTE,150
HUDA BEAUTY,GLOSSY_FINISH,12
HUDA BEAUTY,OIL_CONTROL,8
HUDA BEAUTY,PORE_MINIMIZING,8
HUDA BEAUTY,SKIN_TYPE,4
HUDA BEAUTY,FORMULA,3
HUDA BEAUTY,INDUSTRY_TERM,2
HUDA BEAUTY,SKIN_TONE,2
HUDA BEAUTY,GLOWY_FINISH,1
HUDA BEAUTY,MATTE_FINISH,1
Hourglass,NGRAM_ATTRIBUTE,64
Hourglass,COVERAGE,7
Hourglass,GLOSSY_FINISH,5
Hourglass,GLOWY_FINISH,2
Hourglass,HYDRATION_MOISTURE,2
Hourglass,NATURAL_FINISH,2
Hourglass,SKIN_TYPE,1
IT Cosmetics,NGRAM_ATTRIBUTE,21
IT Cosmetics,GLOSSY_FINISH,3
Iconic London,NGRAM_ATTRIBUTE,21
Iconic London,GLOSSY_FINISH,3
Iconic London,SKIN_TONE,2
KVD Beauty,NGRAM_ATTRIBUTE,24
KVD Beauty,GLOSSY_FINISH,12
KVD Beauty,FORMULA,6
Kosas,NGRAM_ATTRIBUTE,5
LANEIGE,NGRAM_ATTRIBUTE,13
LANEIGE,COVERAGE,1
LANEIGE,GLOSSY_FINISH,1
La Mer,NGRAM_ATTRIBUTE,2
Laura Mercier,COVERAGE,14
MAKE UP FOR EVER,NGRAM_ATTRIBUTE,500
MAKE UP FOR EVER,GLOSSY_FINISH,34
MAKE UP FOR EVER,TEXTURE,14
MAKE UP FOR EVER,MATTE_FINISH,12
MAKE UP FOR EVER,OIL_CONTROL,12
MAKE UP FOR EVER,PORE_MINIMIZING,12
MAKE UP FOR EVER,HYDRATION_MOISTURE,8
MAKE UP FOR EVER,SUN_PROTECTION,8
MAKE UP FOR EVER,INDUSTRY_TERM,4
MAKEUP BY MARIO,NGRAM_ATTRIBUTE,71
MAKEUP BY MARIO,GLOSSY_FINISH,7
MAKEUP BY MARIO,MATTE_FINISH,6
MAKEUP BY MARIO,COVERAGE,5
MAKEUP BY MARIO,TEXTURE,2
MAKEUP BY MARIO,SKIN_TONE,1
MERIT,NGRAM_ATTRIBUTE,16
MERIT,SKIN_TONE,1
NARS,NGRAM_ATTRIBUTE,254
NARS,GLOSSY_FINISH,106
NARS,TEXTURE,63
NARS,INDUSTRY_TERM,32
NARS,FORMULA,7
NARS,OIL_CONTROL,5
NARS,COVERAGE,4
NARS,GLOWY_FINISH,1
NATASHA DENONA,NGRAM_ATTRIBUTE,9
NATASHA DENONA,COLOR_CORRECTION,2
NATASHA DENONA,MATTE_FINISH,1
NATASHA DENONA,PORE_MINIMIZING,1
PATRICK TA,NGRAM_ATTRIBUTE,70
PATRICK TA,SKIN_TONE,4
PATRICK TA,COVERAGE,3
PATRICK TA,SKIN_TYPE,2
PATRICK TA,MATTE_FINISH,1
