Producto,Tipo de Atributo,Frecuencia
#10 Radiant Creamy Concealer Brush,NGRAM_ATTRIBUTE,8
#10 Radiant Creamy Concealer Brush,GLOSSY_FINISH,5
#10 Radiant Creamy Concealer Brush,TEXTURE,3
#10 Radiant Creamy Concealer Brush,FORMULA,1
#10 Radiant Creamy Concealer Brush (NARS),GLOSSY_FINISH,1
#10 Radiant Creamy Concealer Brush (NARS),TEXTURE,1
#109 HD Skin Foundation Brush,NGRAM_ATTRIBUTE,10
#109 HD Skin Foundation Brush,GLOSSY_FINISH,1
#109 HD Skin Foundation Brush,HYDRATION_MOISTURE,1
#109 HD Skin Foundation Brush,SUN_PROTECTION,1
#11 Soft Matte Complete Concealer Brush,NGRAM_ATTRIBUTE,4
#11 Soft Matte Complete Concealer Brush,GLOSSY_FINISH,2
#11 Soft Matte Complete Concealer Brush,FORMULA,1
#11 Soft Matte Complete Concealer Brush (NARS),GLOSSY_FINISH,1
#11 Soft Matte Complete Concealer Brush (NARS),TEXTURE,1
#118 HD Skin Hydra Glow Foundation Brush,NGRAM_ATTRIBUTE,10
#118 HD Skin Hydra Glow Foundation Brush,GLOSSY_FINISH,1
#118 HD Skin Hydra Glow Foundation Brush,HYDRATION_MOISTURE,1
#118 HD Skin Hydra Glow Foundation Brush,SUN_PROTECTION,1
#15 Precision Powder Brush,NGRAM_ATTRIBUTE,7
#15 Precision Powder Brush,COVERAGE,1
#15 Precision Powder Brush,GLOSSY_FINISH,1
#15 Precision Powder Brush (NARS),GLOSSY_FINISH,1
#15 Precision Powder Brush (NARS),TEXTURE,1
#16 Blush Brush,NGRAM_ATTRIBUTE,7
#16 Blush Brush,INDUSTRY_TERM,4
#16 Blush Brush,GLOSSY_FINISH,1
#16 Blush Brush (NARS),GLOSSY_FINISH,1
#16 Blush Brush (NARS),TEXTURE,1
#20 Allover Eyeshadow Brush,NGRAM_ATTRIBUTE,7
#20 Allover Eyeshadow Brush,GLOSSY_FINISH,1
#20 Allover Eyeshadow Brush (NARS),GLOSSY_FINISH,1
#20 Allover Eyeshadow Brush (NARS),TEXTURE,1
#22 Blending Brush,NGRAM_ATTRIBUTE,7
#22 Blending Brush,GLOSSY_FINISH,1
#22 Blending Brush (NARS),GLOSSY_FINISH,1
#22 Blending Brush (NARS),TEXTURE,1
#70 Pomade Brow Brush,NGRAM_ATTRIBUTE,4
#70 Pomade Brow Brush,GLOSSY_FINISH,2
#70 Pomade Brow Brush,FORMULA,1
#FauxFilter Brightening Under Eye Color Corrector,NGRAM_ATTRIBUTE,17
160 Blush Brush,INDUSTRY_TERM,4
160 Blush Brush,NGRAM_ATTRIBUTE,2
160 Blush Brush,GLOSSY_FINISH,1
160 Blush Brush,OIL_CONTROL,1
160 Blush Brush,PORE_MINIMIZING,1
Afterglow Irresistible Eyeshadow Palette (NARS),GLOSSY_FINISH,1
Afterglow Irresistible Eyeshadow Palette (NARS),TEXTURE,1
Afterglow Lip Balm - Laguna Collection (NARS),GLOSSY_FINISH,1
Afterglow Lip Balm - Laguna Collection (NARS),TEXTURE,1
Afterglow Lip Shine Gloss (NARS),GLOSSY_FINISH,1
Afterglow Lip Shine Gloss (NARS),TEXTURE,1
Afterglow Liquid Blush,NGRAM_ATTRIBUTE,7
Afterglow Liquid Blush,INDUSTRY_TERM,4
Afterglow Liquid Blush,GLOSSY_FINISH,1
Afterglow Liquid Blush (NARS),GLOSSY_FINISH,1
Afterglow Liquid Blush (NARS),TEXTURE,1
Afterglow Liquid Blush Duo Set ,NGRAM_ATTRIBUTE,7
Afterglow Liquid Blush Duo Set ,INDUSTRY_TERM,4
Afterglow Liquid Blush Duo Set ,GLOSSY_FINISH,1
Afterglow Liquid Blush Duo Set  (NARS),GLOSSY_FINISH,1
Afterglow Liquid Blush Duo Set  (NARS),TEXTURE,1
Afterglow Sensual Shine Hydrating Lipstick (NARS),GLOSSY_FINISH,1
Afterglow Sensual Shine Hydrating Lipstick (NARS),TEXTURE,1
Afterglow Tinted Lip Balm,NGRAM_ATTRIBUTE,5
Afterglow Tinted Lip Balm,COVERAGE,1
Afterglow Tinted Lip Balm (NARS),GLOSSY_FINISH,1
Afterglow Tinted Lip Balm (NARS),TEXTURE,1
Air Matte Liquid Lipstick,INDUSTRY_TERM,4
Air Matte Liquid Lipstick (NARS),GLOSSY_FINISH,1
Air Matte Liquid Lipstick (NARS),TEXTURE,1
Airbrush Flawless Finish Setting Powder,NGRAM_ATTRIBUTE,6
Airbrush Flawless Finish Setting Powder,PORE_MINIMIZING,5
Airbrush Flawless Finish Setting Powder,GLOSSY_FINISH,1
Airbrush Flawless Finish Setting Powder,OIL_CONTROL,1
Airbrush Flawless Longwear Foundation,PORE_MINIMIZING,3
Airbrush Flawless Longwear Foundation,NGRAM_ATTRIBUTE,2
Airbrush Flawless Longwear Foundation,GLOSSY_FINISH,1
Airbrush Flawless Longwear Foundation,OIL_CONTROL,1
Airbrush Flawless Waterproof Setting Spray,PORE_MINIMIZING,4
Airbrush Flawless Waterproof Setting Spray,NGRAM_ATTRIBUTE,2
Airbrush Flawless Waterproof Setting Spray,GLOSSY_FINISH,1
Airbrush Flawless Waterproof Setting Spray,OIL_CONTROL,1
Airbrush Flawless Waterproof Setting Spray,SKIN_TONE,1
Airbrush Matte Bronzer,NGRAM_ATTRIBUTE,38
Airbrush Matte Bronzer,MATTE_FINISH,4
Airbrush Matte Bronzer,GLOSSY_FINISH,2
Airbrush Matte Bronzer,PORE_MINIMIZING,2
Airbrush Matte Bronzer,GLOWY_FINISH,1
Airbrush Matte Bronzer,OIL_CONTROL,1
Airbrush Matte Bronzer,SUN_PROTECTION,1
Ambient® Powder Brush,NGRAM_ATTRIBUTE,5
Ambient® Powder Brush,COVERAGE,2
Aqua Resist Color Pencil Eyeliner,NGRAM_ATTRIBUTE,5
Artist Color Pencil Extreme Waterproof Lip Liner,NGRAM_ATTRIBUTE,5
Artist Color Pencil Longwear Eyeliner,NGRAM_ATTRIBUTE,5
Artist Color Pencil Longwear Lip Liner,NGRAM_ATTRIBUTE,5
Artist Longwear Skin-fusing Contour Powder,NGRAM_ATTRIBUTE,2
Artist Longwear Skin-fusing Contour Powder,GLOSSY_FINISH,1
Artist Longwear Skin-fusing Contour Powder,OIL_CONTROL,1
Artist Longwear Skin-fusing Contour Powder,PORE_MINIMIZING,1
Artist Longwear Skin-fusing Matte Powder Bronzer,NGRAM_ATTRIBUTE,43
Artist Longwear Skin-fusing Matte Powder Bronzer,GLOSSY_FINISH,2
Artist Longwear Skin-fusing Matte Powder Bronzer,TEXTURE,2
Artist Longwear Skin-fusing Matte Powder Bronzer,MATTE_FINISH,1
Artist Longwear Skin-fusing Powder Blush,NGRAM_ATTRIBUTE,2
Artist Longwear Skin-fusing Powder Blush,GLOSSY_FINISH,1
Artist Longwear Skin-fusing Powder Blush,OIL_CONTROL,1
Artist Longwear Skin-fusing Powder Blush,PORE_MINIMIZING,1
Artist Longwear Skin-fusing Powder Highlighter,NGRAM_ATTRIBUTE,43
Artist Longwear Skin-fusing Powder Highlighter,GLOSSY_FINISH,2
Artist Longwear Skin-fusing Powder Highlighter,TEXTURE,2
